panel,curve,t_s_after_0121,value
normal_acceleration,ink_bottom,97.297,0.9631
normal_acceleration,ink_top,97.297,0.9785
normal_acceleration,ink_bottom,97.915,0.9631
normal_acceleration,ink_top,97.915,0.9785
normal_acceleration,ink_bottom,98.534,0.9477
normal_acceleration,ink_top,98.534,0.9631
normal_acceleration,ink_bottom,99.152,0.9477
normal_acceleration,ink_top,99.152,0.9631
normal_acceleration,ink_bottom,99.770,0.9477
normal_acceleration,ink_top,99.770,0.9631
normal_acceleration,ink_bottom,100.389,0.9477
normal_acceleration,ink_top,100.389,0.9631
normal_acceleration,ink_bottom,101.007,0.9477
normal_acceleration,ink_top,101.007,0.9631
normal_acceleration,ink_bottom,101.625,0.9477
normal_acceleration,ink_top,101.625,0.9631
normal_acceleration,ink_bottom,102.244,0.9631
normal_acceleration,ink_top,102.244,0.9785
normal_acceleration,ink_bottom,102.862,0.9631
normal_acceleration,ink_top,102.862,0.9785
normal_acceleration,ink_bottom,103.481,0.9631
normal_acceleration,ink_top,103.481,0.9785
normal_acceleration,ink_bottom,104.099,0.9631
normal_acceleration,ink_top,104.099,0.9785
normal_acceleration,ink_bottom,104.717,0.9631
normal_acceleration,ink_top,104.717,0.9785
normal_acceleration,ink_bottom,105.336,0.9785
normal_acceleration,ink_top,105.336,0.9939
normal_acceleration,ink_bottom,105.954,0.9785
normal_acceleration,ink_top,105.954,0.9939
normal_acceleration,ink_bottom,106.572,0.9631
normal_acceleration,ink_top,106.572,0.9785
normal_acceleration,ink_bottom,107.191,0.9631
normal_acceleration,ink_top,107.191,0.9785
normal_acceleration,ink_bottom,107.809,0.9477
normal_acceleration,ink_top,107.809,0.9785
normal_acceleration,ink_bottom,108.428,0.9477
normal_acceleration,ink_top,108.428,0.9785
normal_acceleration,ink_bottom,109.046,0.9477
normal_acceleration,ink_top,109.046,0.9631
normal_acceleration,ink_bottom,109.664,0.9477
normal_acceleration,ink_top,109.664,0.9631
normal_acceleration,ink_bottom,110.283,0.9477
normal_acceleration,ink_top,110.283,0.9631
normal_acceleration,ink_bottom,110.901,0.9631
normal_acceleration,ink_top,110.901,0.9785
normal_acceleration,ink_bottom,111.519,0.9631
normal_acceleration,ink_top,111.519,0.9785
normal_acceleration,ink_bottom,112.138,0.9785
normal_acceleration,ink_top,112.138,0.9785
normal_acceleration,ink_bottom,112.756,0.9785
normal_acceleration,ink_top,112.756,0.9939
normal_acceleration,ink_bottom,113.375,0.9785
normal_acceleration,ink_top,113.375,0.9939
normal_acceleration,ink_bottom,113.993,0.9785
normal_acceleration,ink_top,113.993,0.9939
normal_acceleration,ink_bottom,114.611,0.9785
normal_acceleration,ink_top,114.611,0.9939
normal_acceleration,ink_bottom,115.230,0.9785
normal_acceleration,ink_top,115.230,0.9939
normal_acceleration,ink_bottom,115.848,0.9631
normal_acceleration,ink_top,115.848,0.9785
normal_acceleration,ink_bottom,116.466,0.9631
normal_acceleration,ink_top,116.466,0.9785
normal_acceleration,ink_bottom,117.085,0.9631
normal_acceleration,ink_top,117.085,0.9785
normal_acceleration,ink_bottom,117.703,0.9631
normal_acceleration,ink_top,117.703,0.9785
normal_acceleration,ink_bottom,118.322,0.9631
normal_acceleration,ink_top,118.322,0.9631
normal_acceleration,ink_bottom,118.940,0.9631
normal_acceleration,ink_top,118.940,0.9631
normal_acceleration,ink_bottom,119.558,0.9477
normal_acceleration,ink_top,119.558,0.9631
normal_acceleration,ink_bottom,120.177,0.9477
normal_acceleration,ink_top,120.177,0.9631
normal_acceleration,ink_bottom,120.795,0.9631
normal_acceleration,ink_top,120.795,0.9785
normal_acceleration,ink_bottom,121.413,0.9631
normal_acceleration,ink_top,121.413,0.9785
normal_acceleration,ink_bottom,122.032,0.9631
normal_acceleration,ink_top,122.032,0.9785
normal_acceleration,ink_bottom,122.650,0.9785
normal_acceleration,ink_top,122.650,0.9785
normal_acceleration,ink_bottom,123.269,0.9785
normal_acceleration,ink_top,123.269,0.9939
normal_acceleration,ink_bottom,123.887,0.9785
normal_acceleration,ink_top,123.887,0.9939
normal_acceleration,ink_bottom,124.505,0.9785
normal_acceleration,ink_top,124.505,0.9939
normal_acceleration,ink_bottom,125.124,0.9785
normal_acceleration,ink_top,125.124,0.9939
normal_acceleration,ink_bottom,125.742,0.9785
normal_acceleration,ink_top,125.742,0.9939
normal_acceleration,ink_bottom,126.360,0.9785
normal_acceleration,ink_top,126.360,0.9785
normal_acceleration,ink_bottom,126.979,0.9631
normal_acceleration,ink_top,126.979,0.9785
normal_acceleration,ink_bottom,127.597,0.9631
normal_acceleration,ink_top,127.597,0.9785
normal_acceleration,ink_bottom,128.216,0.9631
normal_acceleration,ink_top,128.216,0.9785
normal_acceleration,ink_bottom,128.834,0.9785
normal_acceleration,ink_top,128.834,0.9785
normal_acceleration,ink_bottom,129.452,0.9785
normal_acceleration,ink_top,129.452,0.9785
normal_acceleration,ink_bottom,130.071,0.9631
normal_acceleration,ink_top,130.071,0.9785
normal_acceleration,ink_bottom,130.689,0.9631
normal_acceleration,ink_top,130.689,0.9785
normal_acceleration,ink_bottom,131.307,0.9631
normal_acceleration,ink_top,131.307,0.9785
normal_acceleration,ink_bottom,131.926,0.9631
normal_acceleration,ink_top,131.926,0.9785
normal_acceleration,ink_bottom,132.544,0.9631
normal_acceleration,ink_top,132.544,0.9785
normal_acceleration,ink_bottom,133.163,0.9631
normal_acceleration,ink_top,133.163,0.9631
normal_acceleration,ink_bottom,133.781,0.9631
normal_acceleration,ink_top,133.781,0.9785
normal_acceleration,ink_bottom,134.399,0.9631
normal_acceleration,ink_top,134.399,0.9785
normal_acceleration,ink_bottom,135.018,0.9631
normal_acceleration,ink_top,135.018,0.9785
normal_acceleration,ink_bottom,135.636,0.9785
normal_acceleration,ink_top,135.636,0.9939
